,type,sport,urlname,url
105,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/ilias-akhomach_1965995
106,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/yassine-kechta_1966539
107,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/-ibrahim-bayesh_1564285
108,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/-josef-al-imam_1535776
109,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/miyabi-moriya_1888170
110,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/asisat-oshoala_1976022
111,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/daniela-montoya_1917542
112,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/lassine-soumaoro_1963793
113,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/julio-soler_1930459
114,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/joaquin-garcia_1930386
115,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/aimar-oroz_1942257
116,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/alexia-putellas_1960058
117,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/maika-hamano_1888179
118,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/esther-siamfuko_1975988
119,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/sandra-sepulveda_1918223
120,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/-mahmoud-saber_1957871
121,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/laia-codina_1959975
122,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/khusniddin-alikulov_1896822
123,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/ann-katrin-berger_1880602
124,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/manu-kone_1900672
125,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/malia-steinmetz_1944865
126,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/enrique-boesl_1949942
127,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/issouf-sissokho_1570583
128,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/moussa-diakite_1889169
129,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/gabrielle-carle_1967185
130,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/pau-cubarsi_1942056
131,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/akram-nakach_1966721
132,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/omer-nir-on_1956081
133,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/shu-ohba_1888169
134,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/rodrigo-frutos_1935072
135,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/bilal-el-khannouss_1966630
136,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/kadeisha-buchanan_1967183
137,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/lassine-diarra_1573481
138,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/ibrokhim-ibragimov_1896774
139,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/shelina-zadorsky_1967236
140,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/henry-camara_4968909
141,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/osinachi-ohale_1975390
142,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/racheal-kundananji_1926054
143,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/fin-conchie_1944923
144,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/catherine-musonda_1977147
145,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/obed-nkambadio_1900695
146,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/jorelyn-carabali_1913005
147,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/ihor-krasnopir_4056654
148,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/meikayla-moore_1944963
149,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/-hussein-ali_1558281
150,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/kees-sims_1944921
151,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/stav-lemkin_1956147
152,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/miguel-gutierrez_1942099
153,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/seiji-kimura_1953274
154,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/irene-paredes_1960048
155,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/mohamed-soumah_1961528
156,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/oskar-van-hattum_1944884
157,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/or-israelov_1956058
158,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/-suad-natiq_1564282
159,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/munir-el-kajoui_1974002
160,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/barbra-banda_1925999
161,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/leandro-brey_1930292
162,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/nicole-payne_1977286
163,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/-yasmim_1967636
164,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/mohamed-cisset_1980244
165,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/benjamin-bouchouari_1965956
166,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/wilder-viera_1935140
167,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/giuliano-simeone_3556435
168,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/-ahmed-koka_1910360
169,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/elisa-de-almeida_1930122
170,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/kevin-paredes_1943905
171,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/adriana-leon_1967208
172,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/yu-hirakawa_1953201
173,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/hinata-miyazawa_1888181
174,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/toni-payne_1977277
175,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/grace-geyoro_1930140
176,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/-adriana_1967574
177,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/sandie-toletti_1930147
178,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/georgiy-yermakov_1564464
179,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/ellie-carpenter_1941471
180,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/samu-omorodion_1942256
181,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/ashley-lawrence_1967207
182,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/thiago-almada_1929998
183,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/eric-garcia_1942076
184,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/-lorena_1967608
185,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/edison-azcona_1971668
186,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/athenea-del-castillo_1959980
187,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/griffin-yow_1943937
188,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/fabian-balbuena_1938157
189,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/-bilal-mazhar_1937362
190,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/emily-fox_1943553
191,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/jayde-riviere_1967220
192,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/misa-rodriguez_1960065
193,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/vladyslav-veleten_4658108
194,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/desire-doue_1900653
195,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/oleksandr-martyniuk_1564435
196,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/abbosbek-fayzullaev_1896768
197,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/joel-chima-fujita_1953267
198,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/hamidou-diallo_1570550
199,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/ido-shahar_1956100
200,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/fabian-messina_1949992
201,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/chiamaka-nnadozie_1975075
202,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/rhoda-chileshe_1974724
203,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/lachlan-bayliss_1944863
204,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/lucas-beltran_1930249
205,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/wilson-samake_1943371
206,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/-ziad-kamal_1937698
207,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/amadou-diallo_1975454
208,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/rachid-ghanimi_1965515
209,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/kabange-mupopo_1926040
210,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/joe-bell_1944938
211,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/-angelina_1967567
212,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/trinity-rodman_1943580
213,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/mehdi-maouhoub_1967172
214,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/rasheedat-ajibade_1971542
215,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/jacqui-hand_1944930
216,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/-ahmed-atef_1904700
217,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/soufiane-rahimi_1970731
218,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/evelyne-viens_1967232
219,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/emily-sonnett_1943587
220,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/alex-paulsen_1944902
221,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/thomas-jungbauer_1950128
222,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/martha-tembo_1926046
223,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/koki-saito_1953232
224,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/jordyn-huitema_1967200
225,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/-jheniffer_1967599
226,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/chrislain-matsima_1900690
227,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/amandine-henry_1930141
228,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/jule-brand_1880592
229,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/sydney-lohmann_1880581
230,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/eldor-shomurodov_1896878
231,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/mina-tanaka_1888209
232,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/-kerolin_1967602
233,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/elisa-senss_1880609
234,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/joris-chotard_1900644
235,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/katherine-tapia_1918231
236,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/katrina-gorry_1941482
237,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/shunsuke-mito_1953253
238,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/pauline-peyraud-magnin_1930118
239,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/mackenzie-arnold_1941487
240,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/maksym-khlan_2395918
241,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/-taina_1967630
242,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/jon-pacheco_1942259
243,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/sarpreet-singh_1944931
244,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/bradley-locko_1900682
245,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/josh-atencio_1943833
246,type-team,soccer,football,https://olympics.com/en/paris-2024/athlete/matthew-garbett_1944864
